height,num_transactions,utxo_set_size,total_utxo_value
0,1,1,5000000000
1,1,1,5000000000
2,1,1,5000000000
3,1,1,5000000000
4,1,1,5000000000
5,2,3,10000000000
6,2,4,9999999000
7,2,5,9999998000
8,2,5,9999997000
9,2,5,9999996000
10,2,5,9999995000
11,2,6,9999994000
12,2,6,9999993000
13,2,6,9999992000
14,2,6,9999991000
15,2,6,9999990000
16,2,6,9999989000
17,2,6,9999988000
18,2,6,9999987000
19,2,6,9999986000
20,2,6,9999985000
21,2,6,9999984000
22,2,6,9999983000
23,2,6,9999982000
24,2,6,9999981000
25,2,6,9999980000
26,2,6,9999979000
27,2,6,9999978000
28,2,6,9999977000
29,2,6,9999976000
30,2,6,9999975000
31,2,6,9999974000
32,2,6,9999973000
33,2,6,9999972000
34,2,6,9999971000
35,2,6,9999970000
36,2,6,9999969000
37,2,6,9999968000
38,2,6,9999967000
39,2,6,9999966000
40,2,6,9999965000
41,2,6,9999964000
